,brown-haired,light brown,blond,red hair,black
woman8photo6,0.33004926108374383,0.2406755805770584,0.3011963406052076,,0.12807881773399016
woman8photo8,0.3400673400673401,0.22895622895622897,0.0707070707070707,0.02356902356902357,0.3367003367003367
woman9photo1,0.2816581487791028,0.10391822827938671,0.4077228847245883,0.022146507666098807,0.1845542305508234
woman9photo4,0.046052631578947366,0.16776315789473684,0.7693713450292398,0.0014619883040935672,0.015350877192982455
woman9photo6,0.16363636363636364,0.3,0.4090909090909091,0.00909090909090909,0.11818181818181818
woman9photo8,0.31,0.24,0.34,,0.11
woman10photo0,0.19144267690619857,0.35820076796489303,0.4136039495337356,0.005485463521667581,0.031267142073505214
woman10photo1,0.3111979166666667,0.3359375,0.3001302083333333,0.0006510416666666666,0.052083333333333336
woman10photo2,0.21447721179624665,0.322609472743521,0.291331546023235,0.014298480786416443,0.1572832886505809
woman10photo3,0.32090699461952343,0.2751729438893159,0.3178324365872406,0.014219830899308224,0.07186779400461184
woman10photo4,0.27373271889400924,0.31336405529953915,0.3087557603686636,0.014439324116743472,0.08970814132104454
woman13photo1,,,,,
woman13photo2,0.07423580786026202,0.11790393013100436,0.6681222707423581,0.08296943231441048,0.056768558951965066
woman13photo5,,,,,
woman14photo0,0.056291390728476824,0.22185430463576158,0.6788079470198676,,0.04304635761589404
woman15photo0,0.2923191648023863,0.41573452647278153,0.26994780014914244,,0.021998508575689784
woman15photo1,,,,,
woman15photo2,,,,,
woman15photo4,0.2,0.13214285714285715,0.5892857142857143,,0.07857142857142857
woman15photo6,0.14285714285714285,0.21428571428571427,0.5714285714285714,,0.07142857142857142
woman15photo7,,,,,
woman16photo1,0.11894736842105263,0.2897368421052632,0.3931578947368421,0.1813157894736842,0.016842105263157894
woman16photo2,0.10610932475884244,0.3665594855305466,0.4758842443729904,,0.05144694533762058
woman16photo4,0.16638655462184873,0.25798319327731095,0.21008403361344538,0.3411764705882353,0.024369747899159664
woman16photo5,,,,,
